               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030899,             0.03798,            0.010393,             0.95916,             0.89886,             0.96261,             0.63994,            0.031215,            0.025455,           0.0069504,            0.002872,            0.002872,            0.002872
                  38,            0.029961,            0.036515,           0.0092559,             0.95167,             0.93343,             0.96904,             0.62937,            0.031231,            0.024876,            0.006826,            0.002674,            0.002674,            0.002674
                  39,            0.029691,             0.03755,           0.0092226,             0.94476,             0.92068,             0.96041,             0.65015,            0.029613,            0.025028,           0.0066689,            0.002476,            0.002476,            0.002476
                  40,            0.029067,            0.036283,           0.0090501,             0.95924,             0.92257,             0.96676,              0.6756,            0.029511,             0.02494,           0.0064796,            0.002278,            0.002278,            0.002278
                  41,            0.027713,            0.035309,           0.0090861,             0.96735,             0.90724,             0.96705,             0.68184,            0.028399,            0.024685,           0.0062744,             0.00208,             0.00208,             0.00208
                  42,            0.027408,            0.034355,           0.0088242,             0.96265,             0.92825,             0.97307,             0.68493,            0.029326,            0.024441,           0.0060051,            0.001882,            0.001882,            0.001882
                  43,            0.027741,            0.035832,           0.0088607,             0.96104,              0.9237,             0.96842,             0.70179,            0.028015,            0.024223,           0.0057579,            0.001684,            0.001684,            0.001684
                  44,            0.025986,            0.032777,           0.0086326,             0.96433,             0.91432,             0.97192,             0.67634,            0.028577,             0.02433,            0.005674,            0.001486,            0.001486,            0.001486
                  45,            0.026357,            0.034556,           0.0084302,             0.96668,             0.91301,              0.9727,             0.69458,            0.027608,            0.024227,           0.0056396,            0.001288,            0.001288,            0.001288
                  46,            0.025842,            0.033301,           0.0085039,             0.97152,             0.91008,             0.96815,             0.70366,            0.027109,            0.024441,           0.0055321,             0.00109,             0.00109,             0.00109
                  47,            0.025857,            0.035533,           0.0087442,             0.96649,              0.9208,             0.96645,              0.7051,            0.027077,            0.024445,           0.0054192,            0.000892,            0.000892,            0.000892
                  48,            0.024959,            0.030756,           0.0095451,             0.96313,             0.93279,             0.97021,             0.71285,            0.027187,            0.024334,           0.0054047,            0.000694,            0.000694,            0.000694
                  49,            0.024676,            0.032413,           0.0076213,             0.96182,             0.93543,             0.97381,             0.70568,            0.026977,            0.024361,           0.0054619,            0.000496,            0.000496,            0.000496
